ESTAR: Stopping Powers and Range Tables for Electrons

EJ scintillator (Density=1.03 g/cm3) (I=30.2 eV)

Kinetic    Total     
Energy     Stp. Pow. 
MeV        MeV cm2/g 

 1.000E-02 3.637E+01 
 1.250E-02 3.039E+01 
 1.500E-02 2.625E+01 
 1.750E-02 2.320E+01 
 2.000E-02 2.085E+01 
 2.500E-02 1.747E+01 
 3.000E-02 1.514E+01 
 3.500E-02 1.344E+01 
 4.000E-02 1.213E+01 
 4.500E-02 1.110E+01 
 5.000E-02 1.026E+01 
 5.500E-02 9.565E+00 
 6.000E-02 8.979E+00 
 7.000E-02 8.046E+00 
 8.000E-02 7.336E+00 
 9.000E-02 6.777E+00 
 1.000E-01 6.325E+00 
 1.250E-01 5.494E+00 
 1.500E-01 4.927E+00 
 1.750E-01 4.519E+00 
 2.000E-01 4.213E+00 
 2.500E-01 3.786E+00 
 3.000E-01 3.505E+00 
 3.500E-01 3.307E+00 
 4.000E-01 3.162E+00 
 4.500E-01 3.052E+00 
 5.000E-01 2.966E+00 
 5.500E-01 2.899E+00 
 6.000E-01 2.844E+00 
 7.000E-01 2.763E+00 
 8.000E-01 2.707E+00 
 9.000E-01 2.667E+00 
 1.000E+00 2.639E+00 
 1.250E+00 2.596E+00 
 1.500E+00 2.578E+00 
 1.750E+00 2.571E+00 
 2.000E+00 2.571E+00 
 2.500E+00 2.580E+00 
 3.000E+00 2.595E+00 
 3.500E+00 2.612E+00 
 4.000E+00 2.630E+00 
 4.500E+00 2.647E+00 
 5.000E+00 2.664E+00 
 5.500E+00 2.681E+00 
 6.000E+00 2.697E+00 
 7.000E+00 2.728E+00 
 8.000E+00 2.757E+00 
 9.000E+00 2.785E+00 
 1.000E+01 2.812E+00 
 1.250E+01 2.876E+00 
 1.500E+01 2.935E+00 
 1.750E+01 2.993E+00 
 2.000E+01 3.048E+00 
 2.500E+01 3.155E+00 
 3.000E+01 3.258E+00 
 3.500E+01 3.360E+00 
 4.000E+01 3.460E+00 
 4.500E+01 3.559E+00 
 5.000E+01 3.657E+00 
 5.500E+01 3.755E+00 
 6.000E+01 3.852E+00 
 7.000E+01 4.045E+00 
 8.000E+01 4.238E+00 
 9.000E+01 4.429E+00 
 1.000E+02 4.621E+00 
 1.250E+02 5.098E+00 
 1.500E+02 5.574E+00 
 1.750E+02 6.051E+00 
 2.000E+02 6.527E+00 
 2.500E+02 7.480E+00 
 3.000E+02 8.434E+00 
 3.500E+02 9.390E+00 
 4.000E+02 1.035E+01 
 4.500E+02 1.130E+01 
 5.000E+02 1.226E+01 
 5.500E+02 1.322E+01 
 6.000E+02 1.418E+01 
 7.000E+02 1.610E+01 
 8.000E+02 1.802E+01 
 9.000E+02 1.995E+01 
 1.000E+03 2.187E+01 
