ESTAR: Stopping Powers and Range Tables for Electrons

EJD (Density=1.099 g/cm3) (I=31.7 eV)

Kinetic    Total
Energy     Stp. Pow.
MeV        MeV cm2/g

 1.000E-02 3.514E+01
 1.250E-02 2.937E+01
 1.500E-02 2.537E+01
 1.750E-02 2.243E+01
 2.000E-02 2.016E+01
 2.500E-02 1.690E+01
 3.000E-02 1.465E+01
 3.500E-02 1.300E+01
 4.000E-02 1.174E+01
 4.500E-02 1.074E+01
 5.000E-02 9.930E+00
 5.500E-02 9.258E+00
 6.000E-02 8.692E+00
 7.000E-02 7.790E+00
 8.000E-02 7.102E+00
 9.000E-02 6.562E+00
 1.000E-01 6.125E+00
 1.250E-01 5.323E+00
 1.500E-01 4.774E+00
 1.750E-01 4.380E+00
 2.000E-01 4.083E+00
 2.500E-01 3.670E+00
 3.000E-01 3.397E+00
 3.500E-01 3.206E+00
 4.000E-01 3.066E+00
 4.500E-01 2.959E+00
 5.000E-01 2.877E+00
 5.500E-01 2.811E+00
 6.000E-01 2.758E+00
 7.000E-01 2.680E+00
 8.000E-01 2.626E+00
 9.000E-01 2.588E+00
 1.000E+00 2.560E+00
 1.250E+00 2.520E+00
 1.500E+00 2.503E+00
 1.750E+00 2.497E+00
 2.000E+00 2.497E+00
 2.500E+00 2.507E+00
 3.000E+00 2.522E+00
 3.500E+00 2.539E+00
 4.000E+00 2.557E+00
 4.500E+00 2.574E+00
 5.000E+00 2.592E+00
 5.500E+00 2.608E+00
 6.000E+00 2.625E+00
 7.000E+00 2.656E+00
 8.000E+00 2.685E+00
 9.000E+00 2.713E+00
 1.000E+01 2.740E+00
 1.250E+01 2.804E+00
 1.500E+01 2.864E+00
 1.750E+01 2.921E+00
 2.000E+01 2.977E+00
 2.500E+01 3.085E+00
 3.000E+01 3.189E+00
 3.500E+01 3.292E+00
 4.000E+01 3.393E+00
 4.500E+01 3.493E+00
 5.000E+01 3.592E+00
 5.500E+01 3.691E+00
 6.000E+01 3.790E+00
 7.000E+01 3.986E+00
 8.000E+01 4.181E+00
 9.000E+01 4.375E+00
 1.000E+02 4.569E+00
 1.250E+02 5.054E+00
 1.500E+02 5.537E+00
 1.750E+02 6.021E+00
 2.000E+02 6.504E+00
 2.500E+02 7.472E+00
 3.000E+02 8.441E+00
 3.500E+02 9.411E+00
 4.000E+02 1.038E+01
 4.500E+02 1.135E+01
 5.000E+02 1.233E+01
 5.500E+02 1.330E+01
 6.000E+02 1.428E+01
 7.000E+02 1.623E+01
 8.000E+02 1.818E+01
 9.000E+02 2.013E+01
 1.000E+03 2.209E+01
