ESTAR: Stopping Powers and Range Tables for Electrons

LYSO (Density=7.1 g/cm3) (I=166.7 eV)

Kinetic    Total     
Energy     Stp. Pow. 
MeV        MeV cm2/g 

 1.000E-02 1.632E+01 
 1.250E-02 1.384E+01 
 1.500E-02 1.208E+01 
 1.750E-02 1.077E+01 
 2.000E-02 9.750E+00 
 2.500E-02 8.261E+00 
 3.000E-02 7.222E+00 
 3.500E-02 6.453E+00 
 4.000E-02 5.859E+00 
 4.500E-02 5.386E+00 
 5.000E-02 5.000E+00 
 5.500E-02 4.679E+00 
 6.000E-02 4.407E+00 
 7.000E-02 3.971E+00 
 8.000E-02 3.638E+00 
 9.000E-02 3.375E+00 
 1.000E-01 3.161E+00 
 1.250E-01 2.771E+00 
 1.500E-01 2.504E+00 
 1.750E-01 2.310E+00 
 2.000E-01 2.165E+00 
 2.500E-01 1.961E+00 
 3.000E-01 1.828E+00 
 3.500E-01 1.736E+00 
 4.000E-01 1.668E+00 
 4.500E-01 1.618E+00 
 5.000E-01 1.580E+00 
 5.500E-01 1.551E+00 
 6.000E-01 1.527E+00 
 7.000E-01 1.495E+00 
 8.000E-01 1.474E+00 
 9.000E-01 1.461E+00 
 1.000E+00 1.454E+00 
 1.250E+00 1.449E+00 
 1.500E+00 1.454E+00 
 1.750E+00 1.465E+00 
 2.000E+00 1.479E+00 
 2.500E+00 1.511E+00 
 3.000E+00 1.544E+00 
 3.500E+00 1.577E+00 
 4.000E+00 1.610E+00 
 4.500E+00 1.643E+00 
 5.000E+00 1.675E+00 
 5.500E+00 1.706E+00 
 6.000E+00 1.737E+00 
 7.000E+00 1.799E+00 
 8.000E+00 1.859E+00 
 9.000E+00 1.918E+00 
 1.000E+01 1.976E+00 
 1.250E+01 2.120E+00 
 1.500E+01 2.262E+00 
 1.750E+01 2.404E+00 
 2.000E+01 2.544E+00 
 2.500E+01 2.825E+00 
 3.000E+01 3.105E+00 
 3.500E+01 3.386E+00 
 4.000E+01 3.667E+00 
 4.500E+01 3.949E+00 
 5.000E+01 4.231E+00 
 5.500E+01 4.514E+00 
 6.000E+01 4.797E+00 
 7.000E+01 5.365E+00 
 8.000E+01 5.934E+00 
 9.000E+01 6.505E+00 
 1.000E+02 7.077E+00 
 1.250E+02 8.512E+00 
 1.500E+02 9.951E+00 
 1.750E+02 1.139E+01 
 2.000E+02 1.284E+01 
 2.500E+02 1.573E+01 
 3.000E+02 1.863E+01 
 3.500E+02 2.154E+01 
 4.000E+02 2.445E+01 
 4.500E+02 2.736E+01 
 5.000E+02 3.027E+01 
 5.500E+02 3.319E+01 
 6.000E+02 3.611E+01 
 7.000E+02 4.194E+01 
 8.000E+02 4.778E+01 
 9.000E+02 5.363E+01 
 1.000E+03 5.947E+01 
