ESTAR: Stopping Powers and Range Tables for Electrons

LaBr (Density=5.06 g/cm3) (I=387.0 eV)

Kinetic    Total     
Energy     Stp. Pow. 
MeV        MeV cm2/g 

 1.000E-02 1.182E+01 
 1.250E-02 1.015E+01 
 1.500E-02 8.941E+00 
 1.750E-02 8.028E+00 
 2.000E-02 7.310E+00 
 2.500E-02 6.250E+00 
 3.000E-02 5.501E+00 
 3.500E-02 4.942E+00 
 4.000E-02 4.507E+00 
 4.500E-02 4.159E+00 
 5.000E-02 3.873E+00 
 5.500E-02 3.635E+00 
 6.000E-02 3.432E+00 
 7.000E-02 3.107E+00 
 8.000E-02 2.856E+00 
 9.000E-02 2.658E+00 
 1.000E-01 2.496E+00 
 1.250E-01 2.200E+00 
 1.500E-01 2.000E+00 
 1.750E-01 1.855E+00 
 2.000E-01 1.747E+00 
 2.500E-01 1.596E+00 
 3.000E-01 1.498E+00 
 3.500E-01 1.431E+00 
 4.000E-01 1.383E+00 
 4.500E-01 1.348E+00 
 5.000E-01 1.322E+00 
 5.500E-01 1.303E+00 
 6.000E-01 1.288E+00 
 7.000E-01 1.270E+00 
 8.000E-01 1.261E+00 
 9.000E-01 1.258E+00 
 1.000E+00 1.258E+00 
 1.250E+00 1.270E+00 
 1.500E+00 1.290E+00 
 1.750E+00 1.313E+00 
 2.000E+00 1.338E+00 
 2.500E+00 1.389E+00 
 3.000E+00 1.440E+00 
 3.500E+00 1.490E+00 
 4.000E+00 1.539E+00 
 4.500E+00 1.588E+00 
 5.000E+00 1.636E+00 
 5.500E+00 1.684E+00 
 6.000E+00 1.731E+00 
 7.000E+00 1.825E+00 
 8.000E+00 1.917E+00 
 9.000E+00 2.008E+00 
 1.000E+01 2.100E+00 
 1.250E+01 2.326E+00 
 1.500E+01 2.553E+00 
 1.750E+01 2.779E+00 
 2.000E+01 3.005E+00 
 2.500E+01 3.459E+00 
 3.000E+01 3.915E+00 
 3.500E+01 4.373E+00 
 4.000E+01 4.832E+00 
 4.500E+01 5.293E+00 
 5.000E+01 5.755E+00 
 5.500E+01 6.219E+00 
 6.000E+01 6.683E+00 
 7.000E+01 7.615E+00 
 8.000E+01 8.550E+00 
 9.000E+01 9.487E+00 
 1.000E+02 1.043E+01 
 1.250E+02 1.278E+01 
 1.500E+02 1.515E+01 
 1.750E+02 1.752E+01 
 2.000E+02 1.989E+01 
 2.500E+02 2.465E+01 
 3.000E+02 2.942E+01 
 3.500E+02 3.420E+01 
 4.000E+02 3.898E+01 
 4.500E+02 4.377E+01 
 5.000E+02 4.856E+01 
 5.500E+02 5.335E+01 
 6.000E+02 5.815E+01 
 7.000E+02 6.775E+01 
 8.000E+02 7.736E+01 
 9.000E+02 8.697E+01 
 1.000E+03 9.659E+01 
