ESTAR: Stopping Powers and Range Tables for Electrons

PMMA (Density=1.18 g/cm3) (I=30.5 eV)

Kinetic    Total     
Energy     Stp. Pow. 
MeV        MeV cm2/g 

 1.000E-02 3.653E+01 
 1.250E-02 3.052E+01 
 1.500E-02 2.636E+01 
 1.750E-02 2.330E+01 
 2.000E-02 2.094E+01 
 2.500E-02 1.755E+01 
 3.000E-02 1.521E+01 
 3.500E-02 1.350E+01 
 4.000E-02 1.219E+01 
 4.500E-02 1.115E+01 
 5.000E-02 1.031E+01 
 5.500E-02 9.609E+00 
 6.000E-02 9.021E+00 
 7.000E-02 8.084E+00 
 8.000E-02 7.370E+00 
 9.000E-02 6.809E+00 
 1.000E-01 6.350E+00 
 1.250E-01 5.505E+00 
 1.500E-01 4.936E+00 
 1.750E-01 4.527E+00 
 2.000E-01 4.220E+00 
 2.500E-01 3.792E+00 
 3.000E-01 3.509E+00 
 3.500E-01 3.311E+00 
 4.000E-01 3.165E+00 
 4.500E-01 3.055E+00 
 5.000E-01 2.969E+00 
 5.500E-01 2.901E+00 
 6.000E-01 2.846E+00 
 7.000E-01 2.765E+00 
 8.000E-01 2.708E+00 
 9.000E-01 2.668E+00 
 1.000E+00 2.640E+00 
 1.250E+00 2.597E+00 
 1.500E+00 2.578E+00 
 1.750E+00 2.571E+00 
 2.000E+00 2.571E+00 
 2.500E+00 2.580E+00 
 3.000E+00 2.596E+00 
 3.500E+00 2.613E+00 
 4.000E+00 2.630E+00 
 4.500E+00 2.648E+00 
 5.000E+00 2.665E+00 
 5.500E+00 2.682E+00 
 6.000E+00 2.699E+00 
 7.000E+00 2.730E+00 
 8.000E+00 2.760E+00 
 9.000E+00 2.789E+00 
 1.000E+01 2.816E+00 
 1.250E+01 2.881E+00 
 1.500E+01 2.943E+00 
 1.750E+01 3.002E+00 
 2.000E+01 3.059E+00 
 2.500E+01 3.169E+00 
 3.000E+01 3.276E+00 
 3.500E+01 3.381E+00 
 4.000E+01 3.484E+00 
 4.500E+01 3.586E+00 
 5.000E+01 3.688E+00 
 5.500E+01 3.789E+00 
 6.000E+01 3.890E+00 
 7.000E+01 4.090E+00 
 8.000E+01 4.289E+00 
 9.000E+01 4.488E+00 
 1.000E+02 4.686E+00 
 1.250E+02 5.180E+00 
 1.500E+02 5.674E+00 
 1.750E+02 6.167E+00 
 2.000E+02 6.661E+00 
 2.500E+02 7.648E+00 
 3.000E+02 8.637E+00 
 3.500E+02 9.627E+00 
 4.000E+02 1.062E+01 
 4.500E+02 1.161E+01 
 5.000E+02 1.260E+01 
 5.500E+02 1.360E+01 
 6.000E+02 1.459E+01 
 7.000E+02 1.658E+01 
 8.000E+02 1.857E+01 
 9.000E+02 2.057E+01 
 1.000E+03 2.256E+01 
