Low (MeV),High (MeV),Neutron flux (cm⁻²s⁻²),Neutron flux error (cm⁻²s⁻²),Photon flux (cm⁻²s⁻²),Photon flux error (cm⁻²s⁻²)
0.0,0.1,6.50E+04,1.98E+01,6.97E+04,3.51E+01
0.1,0.2,2.30E+03,4.61E+00,3.44E+04,2.65E+01
0.2,0.3,1.72E+03,4.17E+00,1.68E+04,1.91E+01
0.3,0.4,1.52E+03,4.03E+00,9.71E+03,1.51E+01
0.4,0.5,1.30E+03,3.81E+00,7.51E+03,1.34E+01
0.5,0.6,1.16E+03,3.69E+00,5.52E+03,1.23E+01
0.6,0.7,1.10E+03,3.61E+00,3.67E+03,1.03E+01
0.7,0.8,9.59E+02,3.43E+00,3.43E+03,1.02E+01
0.8,0.9,8.51E+02,3.27E+00,3.40E+03,9.84E+00
0.9,1.0,7.88E+02,3.19E+00,2.70E+03,9.25E+00
1.0,1.1,7.16E+02,3.09E+00,2.56E+03,9.08E+00
1.1,1.2,6.96E+02,3.05E+00,2.10E+03,8.79E+00
1.2,1.3,6.47E+02,2.95E+00,2.05E+03,8.94E+00
1.3,1.4,5.99E+02,2.89E+00,2.19E+03,8.79E+00
1.4,1.5,5.40E+02,2.78E+00,1.79E+03,8.37E+00
1.5,1.6,4.98E+02,2.71E+00,2.58E+03,9.62E+00
1.6,1.7,4.69E+02,2.64E+00,2.61E+03,9.73E+00
1.7,1.8,4.55E+02,2.62E+00,2.87E+03,1.05E+01
1.8,1.9,4.42E+02,2.60E+00,2.52E+03,9.31E+00
1.9,2.0,4.27E+02,2.56E+00,2.38E+03,9.37E+00
2.0,2.1,4.20E+02,2.52E+00,2.41E+03,9.79E+00
2.1,2.2,4.18E+02,2.55E+00,2.43E+03,9.04E+00
2.2,2.3,3.98E+02,2.54E+00,1.42E+03,7.23E+00
2.3,2.4,3.97E+02,2.52E+00,6.72E+02,5.58E+00
2.4,2.5,3.95E+02,2.51E+00,6.22E+02,5.74E+00
2.5,2.6,3.78E+02,2.46E+00,5.35E+02,5.41E+00
2.6,2.7,3.71E+02,2.46E+00,4.95E+02,5.17E+00
2.7,2.8,3.45E+02,2.33E+00,1.18E+03,7.09E+00
2.8,2.9,3.14E+02,2.17E+00,5.97E+02,5.24E+00
2.9,3.0,2.82E+02,2.06E+00,5.88E+02,5.40E+00
3.0,3.1,2.98E+02,2.26E+00,5.70E+02,4.98E+00
3.1,3.2,2.76E+02,2.13E+00,3.80E+02,4.54E+00
3.2,3.3,2.58E+02,2.01E+00,3.61E+02,4.37E+00
3.3,3.4,2.49E+02,1.96E+00,3.62E+02,4.32E+00
3.4,3.5,2.41E+02,1.92E+00,3.58E+02,4.48E+00
3.5,3.6,2.39E+02,1.91E+00,1.22E+03,9.21E+00
3.6,3.7,2.33E+02,1.91E+00,3.61E+02,4.42E+00
3.7,3.8,2.28E+02,1.89E+00,2.61E+02,3.66E+00
3.8,3.9,2.28E+02,1.89E+00,3.19E+02,4.25E+00
3.9,4.0,2.23E+02,1.91E+00,2.55E+02,3.72E+00
4.0,4.1,2.26E+02,1.94E+00,1.86E+02,2.93E+00
4.1,4.2,2.25E+02,1.95E+00,1.95E+02,3.09E+00
4.2,4.3,2.10E+02,1.83E+00,2.24E+02,3.41E+00
4.3,4.4,2.00E+02,1.79E+00,8.33E+02,4.95E+00
4.4,4.5,2.08E+02,1.87E+00,2.81E+03,8.46E+00
4.5,4.6,2.03E+02,1.86E+00,1.66E+02,2.87E+00
4.6,4.7,2.01E+02,1.87E+00,1.71E+02,2.96E+00
4.7,4.8,1.99E+02,1.90E+00,1.97E+02,3.07E+00
4.8,4.9,1.88E+02,1.83E+00,1.68E+02,2.97E+00
4.9,5.0,1.76E+02,1.81E+00,1.42E+03,9.96E+00
5.0,5.1,1.71E+02,1.78E+00,2.30E+02,2.87E+00
5.1,5.2,1.68E+02,1.76E+00,2.30E+02,3.50E+00
5.2,5.3,1.64E+02,1.79E+00,1.03E+02,2.34E+00
5.3,5.4,1.56E+02,1.71E+00,8.25E+01,1.99E+00
5.4,5.5,1.59E+02,1.72E+00,1.02E+02,2.11E+00
5.5,5.6,1.62E+02,1.78E+00,9.60E+01,2.14E+00
5.6,5.7,1.59E+02,1.72E+00,9.10E+01,2.03E+00
5.7,5.8,1.62E+02,1.75E+00,7.85E+01,1.90E+00
5.8,5.9,1.65E+02,1.79E+00,7.72E+01,1.63E+00
5.9,6.0,1.59E+02,1.72E+00,1.48E+02,2.68E+00
6.0,6.1,1.61E+02,1.72E+00,2.78E+02,3.50E+00
6.1,6.2,1.68E+02,1.72E+00,2.14E+02,3.74E+00
6.2,6.3,1.60E+02,1.65E+00,6.30E+01,1.56E+00
6.3,6.4,1.62E+02,1.69E+00,2.85E+02,4.58E+00
6.4,6.5,1.82E+02,1.83E+00,9.52E+01,1.65E+00
6.5,6.6,1.90E+02,1.92E+00,5.25E+01,1.71E+00
6.6,6.7,1.93E+02,1.96E+00,5.36E+01,1.34E+00
6.7,6.8,1.88E+02,1.93E+00,1.61E+02,2.29E+00
6.8,6.9,1.86E+02,1.94E+00,1.06E+02,2.00E+00
6.9,7.0,1.85E+02,1.88E+00,1.38E+02,2.98E+00
7.0,7.1,1.82E+02,1.86E+00,7.78E+01,1.89E+00
7.1,7.2,1.78E+02,1.88E+00,2.78E+02,4.28E+00
7.2,7.3,1.58E+02,1.71E+00,1.17E+02,2.12E+00
7.3,7.4,1.38E+02,1.57E+00,4.12E+01,1.26E+00
7.4,7.5,1.34E+02,1.54E+00,3.70E+01,1.26E+00
7.5,7.6,1.24E+02,1.47E+00,2.48E+01,1.05E+00
7.6,7.7,1.23E+02,1.47E+00,3.43E+02,4.64E+00
7.7,7.8,1.16E+02,1.38E+00,2.88E+02,4.63E+00
7.8,7.9,1.17E+02,1.42E+00,3.28E+01,1.16E+00
7.9,8.0,1.15E+02,1.40E+00,5.35E+01,1.21E+00
8.0,8.1,1.15E+02,1.42E+00,1.49E+01,8.49E-01
