Low [MeV],High [MeV],Flux [cm-2 s-1],Flux error [cm-2 s-1]
"0.0","0.1","6.80E+04","1.36E+01"
"0.1","0.2","2.51E+03","3.24E+00"
"0.2","0.3","1.91E+03","2.96E+00"
"0.3","0.4","1.69E+03","2.86E+00"
"0.4","0.5","1.43E+03","2.71E+00"
"0.5","0.6","1.28E+03","2.61E+00"
"0.6","0.7","1.20E+03","2.56E+00"
"0.7","0.8","1.04E+03","2.41E+00"
"0.8","0.9","9.28E+02","2.31E+00"
"0.9","1.0","8.40E+02","2.22E+00"
"1.0","1.1","7.54E+02","2.14E+00"
"1.1","1.2","7.53E+02","2.15E+00"
"1.2","1.3","6.99E+02","2.09E+00"
"1.3","1.4","6.33E+02","2.01E+00"
"1.4","1.5","5.67E+02","1.93E+00"
"1.5","1.6","5.12E+02","1.85E+00"
"1.6","1.7","4.94E+02","1.82E+00"
"1.7","1.8","4.78E+02","1.81E+00"
"1.8","1.9","4.56E+02","1.78E+00"
"1.9","2.0","4.53E+02","1.79E+00"
"2.0","2.1","4.44E+02","1.75E+00"
"2.1","2.2","4.37E+02","1.77E+00"
"2.2","2.3","4.25E+02","1.75E+00"
"2.3","2.4","4.37E+02","1.79E+00"
"2.4","2.5","4.26E+02","1.76E+00"
"2.5","2.6","4.09E+02","1.72E+00"
"2.6","2.7","3.97E+02","1.70E+00"
"2.7","2.8","3.73E+02","1.64E+00"
"2.8","2.9","3.38E+02","1.53E+00"
"2.9","3.0","2.96E+02","1.42E+00"
"3.0","3.1","3.12E+02","1.55E+00"
"3.1","3.2","2.91E+02","1.47E+00"
"3.2","3.3","2.75E+02","1.40E+00"
"3.3","3.4","2.67E+02","1.36E+00"
"3.4","3.5","2.59E+02","1.33E+00"
"3.5","3.6","2.52E+02","1.31E+00"
"3.6","3.7","2.47E+02","1.31E+00"
"3.7","3.8","2.44E+02","1.31E+00"
"3.8","3.9","2.43E+02","1.32E+00"
"3.9","4.0","2.38E+02","1.32E+00"
"4.0","4.1","2.38E+02","1.33E+00"
"4.1","4.2","2.34E+02","1.31E+00"
"4.2","4.3","2.22E+02","1.27E+00"
"4.3","4.4","2.15E+02","1.26E+00"
"4.4","4.5","2.13E+02","1.26E+00"
"4.5","4.6","2.08E+02","1.27E+00"
"4.6","4.7","2.03E+02","1.27E+00"
"4.7","4.8","1.94E+02","1.27E+00"
"4.8","4.9","1.82E+02","1.23E+00"
"4.9","5.0","1.70E+02","1.19E+00"
"5.0","5.1","1.67E+02","1.21E+00"
"5.1","5.2","1.54E+02","1.15E+00"
"5.2","5.3","1.53E+02","1.18E+00"
