Low [MeV],High [MeV],Flux [cm-2 s-1],Flux error [cm-2 s-1]
"0.0","0.1","5.42E+04","2.08E+01"
"0.1","0.2","2.65E+04","1.57E+01"
"0.2","0.3","1.30E+04","1.13E+01"
"0.3","0.4","7.59E+03","8.89E+00"
"0.4","0.5","6.90E+03","8.23E+00"
"0.5","0.6","4.24E+03","7.08E+00"
"0.6","0.7","2.89E+03","6.01E+00"
"0.7","0.8","2.78E+03","5.94E+00"
"0.8","0.9","2.58E+03","5.72E+00"
"0.9","1.0","2.15E+03","5.42E+00"
"1.0","1.1","1.98E+03","5.30E+00"
"1.1","1.2","1.66E+03","5.09E+00"
"1.2","1.3","1.66E+03","5.15E+00"
"1.3","1.4","1.59E+03","5.02E+00"
"1.4","1.5","1.44E+03","4.80E+00"
"1.5","1.6","2.06E+03","5.61E+00"
"1.6","1.7","2.08E+03","5.66E+00"
"1.7","1.8","2.26E+03","5.96E+00"
"1.8","1.9","1.94E+03","5.43E+00"
"1.9","2.0","1.88E+03","5.45E+00"
"2.0","2.1","1.94E+03","5.62E+00"
"2.1","2.2","2.16E+03","5.39E+00"
"2.2","2.3","1.14E+03","4.15E+00"
"2.3","2.4","5.09E+02","3.06E+00"
"2.4","2.5","5.18E+02","3.17E+00"
"2.5","2.6","4.16E+02","2.96E+00"
"2.6","2.7","3.84E+02","2.85E+00"
"2.7","2.8","6.90E+02","3.66E+00"
"2.8","2.9","5.93E+02","2.99E+00"
"2.9","3.0","3.98E+02","2.91E+00"
"3.0","3.1","4.31E+02","2.76E+00"
"3.1","3.2","2.83E+02","2.43E+00"
"3.2","3.3","2.76E+02","2.36E+00"
"3.3","3.4","3.09E+02","2.35E+00"
"3.4","3.5","2.87E+02","2.39E+00"
"3.5","3.6","9.67E+02","4.89E+00"
"3.6","3.7","2.80E+02","2.35E+00"
"3.7","3.8","1.88E+02","1.93E+00"
"3.8","3.9","2.39E+02","2.23E+00"
"3.9","4.0","1.83E+02","1.96E+00"
"4.0","4.1","1.31E+02","1.58E+00"
"4.1","4.2","1.61E+02","1.72E+00"
"4.2","4.3","1.60E+02","1.83E+00"
"4.3","4.4","7.60E+02","3.30E+00"
"4.4","4.5","2.95E+03","5.73E+00"
"4.5","4.6","1.07E+02","1.50E+00"
"4.6","4.7","1.38E+02","1.68E+00"
"4.7","4.8","1.82E+02","1.74E+00"
"4.8","4.9","1.11E+02","1.55E+00"
"4.9","5.0","1.07E+03","5.25E+00"
"5.0","5.1","2.55E+02","1.71E+00"
"5.1","5.2","1.76E+02","1.80E+00"
"5.2","5.3","6.72E+01","1.20E+00"
"5.3","5.4","5.13E+01","1.06E+00"
"5.4","5.5","6.59E+01","1.15E+00"
"5.5","5.6","5.87E+01","1.08E+00"
"5.6","5.7","5.75E+01","1.11E+00"
"5.7","5.8","4.75E+01","9.95E-01"
"5.8","5.9","7.54E+01","1.03E+00"
"5.9","6.0","1.26E+02","1.50E+00"
"6.0","6.1","2.84E+02","1.92E+00"
"6.1","6.2","1.54E+02","1.88E+00"
"6.2","6.3","3.18E+01","7.80E-01"
"6.3","6.4","2.03E+02","2.39E+00"
"6.4","6.5","7.16E+01","9.86E-01"
"6.5","6.6","3.31E+01","8.96E-01"
"6.6","6.7","3.42E+01","8.10E-01"
"6.7","6.8","2.05E+02","1.45E+00"
"6.8","6.9","1.07E+02","1.19E+00"
"6.9","7.0","1.00E+02","1.54E+00"
"7.0","7.1","4.71E+01","9.56E-01"
"7.1","7.2","1.98E+02","2.23E+00"
"7.2","7.3","1.33E+02","1.24E+00"
"7.3","7.4","2.62E+01","6.95E-01"
"7.4","7.5","2.48E+01","6.94E-01"
"7.5","7.6","1.52E+01","5.67E-01"
"7.6","7.7","2.78E+02","2.48E+00"
"7.7","7.8","2.18E+02","2.47E+00"
"7.8","7.9","2.64E+01","6.66E-01"
"7.9","8.0","5.84E+01","7.57E-01"
"8.0","8.1","8.62E+00","4.13E-01"
"8.1","8.2","1.12E+01","5.18E-01"
"8.2","8.3","7.24E+00","4.07E-01"
"8.3","8.4","1.31E+01","5.98E-01"
"8.4","8.5","7.70E+02","4.79E+00"
"8.5","8.6","3.31E+01","4.68E-01"
"8.6","8.7","7.16E+00","2.87E-01"
"8.7","8.8","3.42E+00","2.34E-01"
"8.8","8.9","2.31E+02","1.24E+00"
"8.9","9.0","7.67E+01","7.14E-01"
"9.0","9.1","2.48E+00","1.91E-01"
"9.1","9.2","8.86E+01","8.03E-01"
"9.2","9.3","1.86E+01","6.36E-01"
"9.3","9.4","1.24E+00","1.33E-01"
"9.4","9.5","1.27E+00","1.32E-01"
"9.5","9.6","1.13E+00","1.39E-01"
"9.6","9.7","5.63E+00","2.91E-01"
"9.7","9.8","1.85E+00","1.98E-01"
"9.8","9.9","2.33E+00","2.04E-01"
"9.9","10.0","4.86E-01","9.95E-02"
"10.0","10.1","5.63E-01","1.05E-01"
"10.1","10.2","2.46E-01","6.31E-02"
"10.2","10.3","8.28E-01","1.59E-01"
"10.3","10.4","4.79E-01","8.66E-02"
"10.4","10.5","1.30E+01","3.71E-01"
"10.5","10.6","2.58E-01","7.78E-02"
"10.6","10.7","2.54E+01","8.68E-01"
"10.7","10.8","5.34E-01","8.56E-02"
"10.8","10.9","7.36E+00","3.13E-01"
"10.9","11.0","2.57E-01","6.02E-02"
