ESTAR: Stopping Powers and Range Tables for Electrons

quartz (Density=2.65 g/cm3) (I=124.8 eV)

Kinetic    Total     
Energy     Stp. Pow. 
MeV        MeV cm2/g 

 1.000E-02 1.825E+01 
 1.250E-02 1.542E+01 
 1.500E-02 1.343E+01 
 1.750E-02 1.195E+01 
 2.000E-02 1.080E+01 
 2.500E-02 9.132E+00 
 3.000E-02 7.968E+00 
 3.500E-02 7.108E+00 
 4.000E-02 6.446E+00 
 4.500E-02 5.919E+00 
 5.000E-02 5.489E+00 
 5.500E-02 5.132E+00 
 6.000E-02 4.830E+00 
 7.000E-02 4.347E+00 
 8.000E-02 3.977E+00 
 9.000E-02 3.686E+00 
 1.000E-01 3.449E+00 
 1.250E-01 3.017E+00 
 1.500E-01 2.726E+00 
 1.750E-01 2.516E+00 
 2.000E-01 2.358E+00 
 2.500E-01 2.140E+00 
 3.000E-01 1.997E+00 
 3.500E-01 1.896E+00 
 4.000E-01 1.823E+00 
 4.500E-01 1.768E+00 
 5.000E-01 1.726E+00 
 5.500E-01 1.693E+00 
 6.000E-01 1.667E+00 
 7.000E-01 1.630E+00 
 8.000E-01 1.606E+00 
 9.000E-01 1.590E+00 
 1.000E+00 1.580E+00 
 1.250E+00 1.570E+00 
 1.500E+00 1.572E+00 
 1.750E+00 1.579E+00 
 2.000E+00 1.588E+00 
 2.500E+00 1.612E+00 
 3.000E+00 1.636E+00 
 3.500E+00 1.661E+00 
 4.000E+00 1.685E+00 
 4.500E+00 1.709E+00 
 5.000E+00 1.732E+00 
 5.500E+00 1.754E+00 
 6.000E+00 1.776E+00 
 7.000E+00 1.818E+00 
 8.000E+00 1.859E+00 
 9.000E+00 1.898E+00 
 1.000E+01 1.937E+00 
 1.250E+01 2.030E+00 
 1.500E+01 2.121E+00 
 1.750E+01 2.210E+00 
 2.000E+01 2.297E+00 
 2.500E+01 2.470E+00 
 3.000E+01 2.641E+00 
 3.500E+01 2.810E+00 
 4.000E+01 2.979E+00 
 4.500E+01 3.147E+00 
 5.000E+01 3.316E+00 
 5.500E+01 3.484E+00 
 6.000E+01 3.652E+00 
 7.000E+01 3.988E+00 
 8.000E+01 4.325E+00 
 9.000E+01 4.662E+00 
 1.000E+02 4.999E+00 
 1.250E+02 5.843E+00 
 1.500E+02 6.690E+00 
 1.750E+02 7.538E+00 
 2.000E+02 8.387E+00 
 2.500E+02 1.009E+01 
 3.000E+02 1.179E+01 
 3.500E+02 1.350E+01 
 4.000E+02 1.521E+01 
 4.500E+02 1.692E+01 
 5.000E+02 1.864E+01 
 5.500E+02 2.035E+01 
 6.000E+02 2.207E+01 
 7.000E+02 2.550E+01 
 8.000E+02 2.893E+01 
 9.000E+02 3.237E+01 
 1.000E+03 3.581E+01 
